Sentences,Index
,P2_W1_S5
,P2_W1_S4
,P2_W1_S6
,P2_W1_S1
,P2_W1_S3
,P2_W1_S2
,P2_W6_S5
,P2_W6_S4
,P2_W6_S6
,P2_W6_S1
,P2_W6_S3
,P2_W6_S2
,P2_W7_S5
,P2_W7_S4
,P2_W7_S6
,P2_W7_S1
,P2_W7_S3
,P2_W7_S2
,P2_W2_S5
,P2_W2_S4
,P2_W2_S6
,P2_W2_S1
,P2_W2_S3
,P2_W2_S2
,P2_W9_S5
,P2_W9_S4
,P2_W9_S6
,P2_W9_S1
,P2_W9_S3
,P2_W9_S2
,P2_W3_S5
,P2_W3_S4
,P2_W3_S6
,P2_W3_S1
,P2_W3_S3
,P2_W3_S2
,P2_W10_S5
,P2_W10_S4
,P2_W10_S6
,P2_W10_S1
,P2_W10_S3
,P2_W10_S2
,P2_W4_S5
,P2_W4_S4
,P2_W4_S6
,P2_W4_S1
,P2_W4_S3
,P2_W4_S2
,P2_W5_S5
,P2_W5_S4
,P2_W5_S6
,P2_W5_S1
,P2_W5_S3
,P2_W5_S2
,P2_W8_S5
,P2_W8_S4
,P2_W8_S6
,P2_W8_S1
,P2_W8_S3
,P2_W8_S2
